numero_police,date_edition,date_effet,date_echeance,numero_immatriculation,statut_contrat,entite,type_intermediaire
POL986445,2021-12-23,2023-04-03,2023-11-03,344DMR,expiré,akwaba,direct
POL270457,2022-05-19,2025-04-19,2025-04-30,0VY0006,valide,akwaba,courtier
POL242270,2021-04-25,2022-02-07,2023-03-24,AKM 689,annulé,yako,courtier
POL599440,2021-09-30,2022-01-25,2023-04-23,HRL 549,valide,akwaba,courtier
POL853709,2021-02-28,2025-06-06,2025-09-17,899-614,valide,akwaba,courtier
POL061485,2023-01-06,2024-06-27,2025-01-10,8X 7T2RVJ,suspendu,yako,direct
POL374183,2024-02-28,2025-06-05,2025-09-15,8B 6H6IUW,suspendu,akwaba,direct
POL731509,2021-11-23,2023-06-10,2024-03-02,6RWW250,valide,yako,direct
POL696440,2023-11-05,2024-05-10,2024-09-01,885QCA,expiré,yako,direct
POL235889,2021-10-28,2021-11-09,2025-06-07,84BI6,expiré,akwaba,courtier
POL360589,2024-08-26,2024-12-28,2025-09-21,863-735,expiré,akwaba,courtier
POL486518,2019-11-24,2021-11-03,2024-03-08,L28-68K,valide,yako,courtier
POL508921,2021-11-14,2022-09-04,2024-07-04,171 9PQ,suspendu,yako,agent
POL551846,2021-10-21,2023-09-11,2025-01-30,787-AYL,annulé,yako,courtier
POL505642,2019-10-20,2020-12-06,2025-08-24,YRD-9586,suspendu,akwaba,direct
POL332477,2022-05-11,2024-01-06,2024-08-15,65W F26,expiré,akwaba,courtier
POL871626,2021-07-29,2022-06-14,2023-05-11,7MDC192,expiré,akwaba,courtier
POL405275,2022-04-20,2024-12-17,2025-03-01,069 DXM,suspendu,yako,agent
POL570930,2022-04-03,2022-10-04,2023-12-07,UTA 680,valide,yako,direct
POL131731,2021-08-16,2024-06-22,2024-12-18,ZOL 846,suspendu,yako,agent
POL801165,2022-06-09,2024-01-11,2024-10-21,9-9730X,suspendu,akwaba,direct
POL565428,2022-07-01,2025-08-09,2025-08-14,KHI 708,annulé,yako,agent
POL220708,2023-01-11,2024-07-23,2025-07-06,EHP-518,expiré,yako,agent
POL416547,2021-04-05,2023-04-13,2023-06-01,768 4YZ,expiré,akwaba,courtier
POL503784,2024-04-19,2024-05-11,2024-07-03,P82-01D,valide,yako,direct
POL885326,2022-11-17,2025-08-01,2025-09-10,86S G52,annulé,akwaba,direct
POL621053,2024-06-11,2024-12-04,2025-03-12,629 JHB,expiré,yako,direct
POL176359,2023-12-05,2024-05-01,2025-03-14,118 RKB,annulé,yako,agent
POL323055,2021-09-03,2021-09-04,2022-02-08,3-5767I,annulé,yako,agent
POL630069,2022-09-01,2023-02-26,2025-06-21,MIM 543,expiré,yako,direct
POL378725,2023-06-29,2023-11-19,2024-08-01,69OX973,annulé,yako,agent
POL093061,2020-05-27,2021-07-09,2025-08-12,KIB 712,annulé,akwaba,agent
POL271654,2023-05-24,2024-04-19,2025-07-07,ZW0 X1V,annulé,akwaba,agent
POL989619,2020-12-19,2025-03-13,2025-04-20,631-XLS,suspendu,akwaba,agent
POL429919,2022-10-29,2025-01-23,2025-08-09,442K,valide,akwaba,direct
POL771119,2021-01-09,2023-09-03,2024-03-08,5R063,expiré,yako,courtier
POL615675,2021-04-29,2024-04-06,2025-05-13,9MB09,suspendu,yako,direct
POL989539,2022-03-25,2022-07-27,2023-01-28,272 0QF,valide,yako,direct
POL423191,2023-07-14,2024-11-06,2024-11-22,050G,expiré,akwaba,courtier
POL885057,2022-09-22,2023-05-31,2024-06-02,23R•018,valide,akwaba,direct
POL560845,2020-10-15,2023-04-03,2024-09-27,FDO 375,annulé,yako,direct
POL272720,2020-03-31,2022-07-11,2025-06-04,GGW-7833,suspendu,yako,direct
POL840128,2024-04-23,2024-12-04,2025-08-14,516M7,valide,akwaba,agent
POL832555,2022-11-28,2024-01-21,2025-08-22,65-B553,suspendu,yako,agent
POL987985,2023-01-01,2024-11-30,2025-09-06,230B6,expiré,yako,courtier
POL714674,2020-02-28,2024-03-29,2024-04-21,KPH 611,expiré,akwaba,direct
POL605315,2024-04-10,2024-11-12,2025-07-30,0UB 042,expiré,yako,courtier
POL460100,2023-05-19,2023-12-26,2025-08-15,625 7IT,expiré,akwaba,agent
POL309084,2022-10-29,2025-08-10,2025-09-20,M10-02C,annulé,yako,direct
POL112285,2020-10-30,2021-06-08,2022-09-24,8KH A91,valide,yako,courtier
POL535967,2022-10-07,2023-03-16,2025-08-17,569-VCAC,expiré,akwaba,courtier
POL291948,2022-04-16,2023-05-28,2024-03-29,391 3183,suspendu,akwaba,courtier
POL865453,2023-12-21,2024-03-12,2024-04-09,LGF-149,expiré,akwaba,direct
POL879220,2024-02-03,2025-02-18,2025-03-10,5LL 144,suspendu,akwaba,agent
POL158022,2024-06-16,2025-03-24,2025-04-13,OUJ 484,valide,yako,courtier
POL497131,2022-12-09,2023-03-12,2024-09-10,696 VV1,expiré,akwaba,direct
POL421164,2024-09-19,2025-05-06,2025-05-16,5-35488R,valide,yako,direct
POL299143,2021-11-20,2023-10-30,2024-01-23,87-57118,expiré,yako,courtier
POL161028,2021-11-22,2025-05-30,2025-08-26,HIF 060,valide,yako,direct
POL990925,2020-06-17,2021-07-12,2021-07-15,1WN O51,suspendu,yako,agent
POL428982,2024-06-27,2025-09-13,2025-09-16,73B 9430,annulé,yako,agent
POL385210,2020-01-01,2021-05-26,2021-11-05,8EJQ 96,valide,yako,agent
POL870369,2024-03-17,2025-09-19,2025-09-22,8BR 072,valide,akwaba,courtier
POL032633,2021-02-09,2025-06-26,2025-07-10,859-075,expiré,yako,courtier
POL897912,2022-03-10,2024-05-25,2025-04-24,92-59302,annulé,akwaba,courtier
POL247982,2023-04-21,2023-07-20,2024-10-24,YPU-930,expiré,yako,agent
POL707673,2020-09-02,2021-07-20,2024-02-20,339039,annulé,yako,direct
POL113695,2023-05-16,2023-06-28,2025-09-23,280 SSB,valide,akwaba,direct
POL049770,2022-07-30,2024-03-04,2024-06-06,9FB 999,annulé,yako,agent
POL415616,2021-12-29,2022-03-25,2024-09-09,FNX 811,annulé,akwaba,direct
POL811493,2023-12-04,2024-03-19,2025-02-28,40-68932,valide,akwaba,direct
POL079174,2023-02-17,2023-10-19,2025-05-10,TLR 452,expiré,yako,courtier
POL311611,2021-07-23,2023-12-15,2025-04-18,ZBM 367,valide,yako,direct
POL600091,2020-01-17,2020-10-29,2024-03-17,71Q•784,expiré,yako,direct
POL512293,2024-08-26,2024-09-03,2024-09-13,990M,valide,akwaba,courtier
POL123393,2020-09-06,2024-03-18,2025-05-07,ENG-364,expiré,yako,direct
POL283644,2024-06-09,2024-07-25,2025-09-07,AUK 358,valide,yako,direct
POL371693,2022-06-24,2025-08-17,2025-09-21,196 DDV,valide,yako,direct
POL858634,2020-06-30,2023-05-26,2024-05-11,899 0KY,valide,yako,courtier
POL733805,2022-04-19,2023-03-12,2023-11-27,609-EQP,annulé,yako,courtier
POL803903,2021-11-24,2022-10-04,2023-09-26,VYK 270,expiré,yako,courtier
POL805574,2021-08-25,2022-08-29,2023-04-09,850 EGT,suspendu,akwaba,direct
POL568397,2020-03-25,2022-02-01,2024-05-04,UYM 981,suspendu,akwaba,direct
POL497473,2021-07-26,2024-02-19,2024-09-23,MLI-2101,suspendu,akwaba,courtier
POL179239,2023-03-29,2024-09-06,2025-04-13,9DQA 11,suspendu,yako,direct
POL326656,2020-03-13,2021-10-23,2023-10-29,3RN 270,expiré,akwaba,courtier
POL832454,2020-12-24,2023-04-01,2025-06-05,FVJ 426,suspendu,yako,agent
POL805046,2022-04-28,2023-07-20,2023-11-09,XHA-842,annulé,yako,courtier
POL415444,2021-03-03,2022-07-20,2022-08-18,817-DHJ,annulé,akwaba,courtier
POL433185,2021-07-15,2022-12-28,2023-11-11,G91 0OX,valide,yako,courtier
POL399698,2020-02-15,2020-12-30,2023-08-29,0U093,suspendu,akwaba,direct
POL894445,2020-04-23,2022-03-04,2025-07-15,VKJ-4715,expiré,akwaba,courtier
POL740184,2024-08-23,2025-02-28,2025-03-24,CUM-4478,expiré,yako,courtier
POL790346,2021-01-02,2021-05-01,2024-04-27,887-ZYU,suspendu,yako,courtier
POL548295,2022-12-29,2024-09-20,2025-05-13,991 0759,valide,akwaba,courtier
POL508658,2023-11-19,2024-05-15,2024-09-23,TS-8997,annulé,akwaba,courtier
POL367145,2023-08-23,2025-05-25,2025-07-04,671 9XX,annulé,akwaba,courtier
POL962341,2022-09-29,2024-05-29,2024-11-15,CSO 257,annulé,akwaba,agent
POL267838,2022-10-15,2024-10-08,2025-03-11,O34-43U,expiré,akwaba,agent
POL963955,2019-11-07,2023-03-12,2025-08-20,DWJ-7780,expiré,akwaba,agent
POL702041,2022-10-11,2023-04-03,2025-01-20,193-KFC,suspendu,yako,direct
POL262189,2022-08-26,2022-11-09,2024-09-27,B13 6JS,valide,yako,courtier
POL989182,2021-01-10,2025-06-10,2025-08-27,509 DXP,annulé,akwaba,agent
POL068583,2023-07-04,2023-08-02,2023-12-05,357 EVB,expiré,akwaba,courtier
POL357246,2020-06-02,2023-02-24,2024-03-12,460-SRMK,expiré,yako,agent
POL993299,2022-10-30,2023-08-15,2024-02-16,76LS4,expiré,yako,agent
POL247634,2023-12-06,2024-11-26,2025-03-25,777-UAI,expiré,akwaba,direct
POL219860,2024-06-16,2024-08-02,2025-04-22,918-ZGIF,expiré,yako,agent
POL531927,2023-01-21,2023-08-24,2025-07-18,075NEZ,suspendu,akwaba,direct
POL684114,2022-06-09,2023-02-05,2023-03-24,56K•877,valide,akwaba,courtier
POL887083,2023-09-03,2025-06-09,2025-06-12,452 8116,valide,akwaba,agent
