numero_police,date_edition,date_effet,date_echeance,numero_immatriculation,statut_contrat,entite,type_intermediaire,prime_nette,date_creation
POL755141,2021-02-13,2025-05-11,2025-06-07,932 AQF,expiré,NSIA,courtier,4728838,29-09-20242019
POL874192,2021-02-12,2021-07-22,2022-12-07,8JG U47,annulé,LEADWAY,banque assurance,2474229,29-09-20242019
POL943961,2021-10-22,2022-11-19,2024-01-02,073-002,annulé,LEADWAY,courtier,2546062,29-09-20242019
POL311852,2021-10-20,2021-11-01,2024-10-30,LMJ 781,annulé,LEADWAY,agent generale,4122762,29-09-20242019
POL878352,2021-10-30,2025-06-24,2025-07-17,P73 6JW,suspendu,SUNU,banque assurance,576410,29-09-20242019
POL232056,2022-12-01,2024-04-02,2025-04-09,272-OESF,valide,SUNU,agent generale,3946555,29-09-20242019
POL651733,2021-06-18,2024-08-10,2025-06-21,506B,suspendu,LEADWAY,agent generale,4017617,29-09-20242019
POL656811,2023-12-05,2024-01-18,2025-06-09,YAJ 584,valide,SUNU,bureau direct,685946,29-09-20242019
POL797996,2020-05-29,2020-08-30,2020-11-15,UNR 2992,annulé,NSIA,courtier,4092059,29-09-20242019
POL116302,2022-05-29,2025-06-04,2025-08-30,SU 4620,expiré,LEADWAY,courtier,4429735,29-09-20242019
POL369167,2022-07-16,2023-08-20,2023-09-29,WG 4682,valide,LEADWAY,banque assurance,2766635,29-09-20242019
POL872216,2023-12-24,2024-10-27,2025-09-03,6SGR348,annulé,SUNU,bureau direct,3430532,29-09-20242019
POL554171,2024-07-22,2024-08-03,2024-09-15,MNW-5392,valide,LEADWAY,courtier,1407188,29-09-20242019
POL480177,2022-03-02,2022-08-08,2023-01-13,8F 62330,expiré,LEADWAY,bureau direct,691704,29-09-20242019
POL715056,2019-11-19,2022-01-06,2025-01-02,34L I52,valide,NSIA,courtier,3413086,29-09-20242019
POL631136,2020-12-24,2023-11-17,2024-06-28,HGS 3008,expiré,SUNU,agent generale,3394281,29-09-20242019
POL511227,2022-11-24,2023-05-22,2023-10-06,I24-DQA,annulé,SUNU,bureau direct,4980124,29-09-20242019
POL198963,2020-06-05,2023-03-13,2023-05-01,933 IAU,annulé,SUNU,courtier,4423925,29-09-20242019
POL238950,2019-10-13,2022-05-13,2023-02-01,31-V470,valide,LEADWAY,agent generale,317518,29-09-20242019
POL067016,2020-07-28,2021-06-21,2024-02-28,527D,annulé,LEADWAY,courtier,3012468,29-09-20242019
POL858408,2024-04-05,2025-08-20,2025-09-02,QXO 899,expiré,NSIA,courtier,112983,29-09-20242019
POL084669,2021-12-20,2024-03-10,2025-05-12,007TPJ,valide,NSIA,bureau direct,3350997,29-09-20242019
POL719737,2021-05-13,2021-08-23,2022-02-21,9-90951,expiré,SUNU,banque assurance,3249491,29-09-20242019
POL873889,2024-01-18,2024-09-23,2025-08-28,618512,valide,LEADWAY,agent generale,4572661,29-09-20242019
POL473237,2022-10-04,2025-01-19,2025-03-14,ADD3495,valide,LEADWAY,agent generale,2289790,29-09-20242019
POL992665,2021-07-28,2021-09-15,2025-07-21,3-83163E,annulé,LEADWAY,courtier,3720296,29-09-20242019
POL842265,2020-06-29,2021-10-12,2024-08-02,1H 49680,expiré,LEADWAY,courtier,3302131,29-09-20242019
POL723083,2020-04-10,2022-03-31,2023-09-30,982-FBN,valide,NSIA,banque assurance,4091349,29-09-20242019
POL163845,2021-10-28,2022-01-06,2022-07-07,LPM 671,annulé,NSIA,courtier,1197020,29-09-20242019
POL536627,2021-05-07,2025-08-14,2025-09-11,0MY 444,suspendu,NSIA,banque assurance,2270153,29-09-20242019
POL200311,2020-09-22,2022-03-25,2024-12-23,366 WVQ,suspendu,NSIA,agent generale,3053355,29-09-20242019
POL047975,2024-05-30,2025-07-11,2025-07-28,5WSP 20,valide,NSIA,courtier,1035719,29-09-20242019
POL976431,2024-03-07,2025-08-26,2025-09-15,82WU438,annulé,LEADWAY,banque assurance,1381647,29-09-20242019
POL966251,2021-08-03,2025-09-11,2025-09-16,9T505,valide,NSIA,courtier,2072177,29-09-20242019
POL623298,2024-03-06,2024-10-13,2025-06-29,BTB F07,annulé,SUNU,courtier,3601874,29-09-20242019
POL313675,2024-03-28,2025-08-27,2025-09-25,025 3OH,suspendu,LEADWAY,courtier,4932983,29-09-20242019
POL093823,2020-11-10,2023-09-26,2024-12-30,YCH-8223,expiré,NSIA,courtier,1898880,29-09-20242019
POL607676,2024-02-15,2024-12-25,2025-03-15,90V•150,annulé,SUNU,agent generale,2280206,29-09-20242019
POL051960,2020-07-09,2021-05-07,2024-09-25,8DMJ132,suspendu,LEADWAY,agent generale,3473103,29-09-20242019
POL312112,2020-08-11,2022-07-28,2023-02-19,365 1TD,expiré,NSIA,banque assurance,2322755,29-09-20242019
POL163173,2021-06-08,2023-11-02,2025-08-27,YSK 859,annulé,LEADWAY,banque assurance,1788564,29-09-20242019
POL118708,2019-11-02,2024-07-30,2025-03-05,FZU-7889,suspendu,NSIA,bureau direct,2667962,29-09-20242019
POL672601,2023-12-17,2025-07-16,2025-07-18,066O,suspendu,LEADWAY,banque assurance,2180900,29-09-20242019
POL017613,2021-06-26,2024-07-01,2024-07-12,VZJ-6124,suspendu,SUNU,courtier,4722573,29-09-20242019
POL764807,2020-10-07,2023-01-17,2024-06-16,Z27-XKC,annulé,SUNU,banque assurance,4541116,29-09-20242019
POL620547,2024-04-04,2025-08-12,2025-09-05,TEK-586,suspendu,NSIA,bureau direct,980332,29-09-20242019
POL272766,2022-07-19,2022-07-21,2024-07-31,293YNP,annulé,SUNU,courtier,781922,29-09-20242019
POL291442,2024-03-09,2025-06-20,2025-09-16,52B E71,expiré,LEADWAY,agent generale,3172266,29-09-20242019
POL161340,2022-07-16,2025-02-18,2025-08-15,LTY-9288,valide,NSIA,courtier,2622535,29-09-20242019
POL278638,2023-06-16,2024-05-22,2025-08-31,000-CMF,valide,SUNU,bureau direct,2801954,29-09-20242019
POL653047,2021-01-18,2021-03-05,2022-02-02,HXE 504,expiré,LEADWAY,courtier,4547473,29-09-20242019
POL348078,2022-02-25,2024-06-19,2025-03-28,253D6,annulé,NSIA,agent generale,2253875,29-09-20242019
POL170994,2023-02-16,2023-02-22,2024-05-02,O83-VED,suspendu,LEADWAY,banque assurance,3296668,29-09-20242019
POL103200,2021-06-29,2024-03-04,2024-10-25,21Z•519,annulé,LEADWAY,banque assurance,4736370,29-09-20242019
POL927376,2019-11-25,2020-05-27,2023-01-18,6BQ G60,annulé,LEADWAY,agent generale,3002452,29-09-20242019
POL678996,2019-10-01,2023-04-23,2025-01-04,UDW6135,valide,LEADWAY,bureau direct,4510770,29-09-20242019
POL315647,2020-02-04,2023-06-05,2024-08-20,097-WRZT,valide,LEADWAY,bureau direct,2509079,29-09-20242019
POL208864,2020-03-21,2020-03-22,2023-10-10,49T•691,suspendu,LEADWAY,courtier,2462033,29-09-20242019
POL993144,2021-01-09,2023-05-22,2023-11-08,6YQ4018,annulé,NSIA,courtier,2707,29-09-20242019
POL175462,2020-06-18,2024-03-23,2024-05-27,7OF 507,suspendu,SUNU,bureau direct,2982080,29-09-20242019
POL259969,2024-07-21,2024-11-27,2025-01-04,45-G618,annulé,SUNU,agent generale,317553,29-09-20242019
POL200815,2022-05-27,2024-03-20,2024-05-08,859 TNJ,expiré,NSIA,banque assurance,907248,29-09-20242019
POL826821,2020-11-12,2022-09-04,2023-02-06,5H 67337,expiré,LEADWAY,bureau direct,1087038,29-09-20242019
POL980301,2019-11-06,2024-09-13,2025-02-13,LIC 516,suspendu,SUNU,banque assurance,1915601,29-09-20242019
POL549809,2022-12-06,2023-12-20,2024-05-25,3-33383E,expiré,NSIA,banque assurance,1721498,29-09-20242019
POL228207,2024-03-28,2024-11-17,2025-06-08,819-GEQ,expiré,NSIA,bureau direct,2133481,29-09-20242019
POL797571,2020-09-17,2023-07-03,2025-05-07,2E 4958X,suspendu,NSIA,banque assurance,4988314,29-09-20242019
POL245113,2021-07-27,2025-02-07,2025-07-29,GWE-826,expiré,LEADWAY,agent generale,3324410,29-09-20242019
POL674816,2024-09-20,2025-03-19,2025-09-20,76-3026R,suspendu,NSIA,bureau direct,2671791,29-09-20242019
POL969090,2024-01-17,2024-02-11,2025-08-08,6-O9782,expiré,NSIA,courtier,1355766,29-09-20242019
POL606208,2024-05-11,2025-07-29,2025-08-03,8V 84116,expiré,NSIA,banque assurance,538397,29-09-20242019
POL890812,2024-04-08,2024-11-14,2024-11-21,LDG 821,suspendu,LEADWAY,agent generale,250680,29-09-20242019
POL962480,2023-02-11,2023-12-03,2024-03-01,PMH 508,suspendu,SUNU,banque assurance,746401,29-09-20242019
POL091632,2022-07-04,2022-08-17,2023-11-07,037H,suspendu,LEADWAY,agent generale,4111964,29-09-20242019
POL435683,2022-07-03,2023-06-24,2024-10-17,5-Y3279,valide,NSIA,agent generale,201066,29-09-20242019
POL055417,2021-12-13,2022-12-25,2024-05-26,378 KLA,valide,NSIA,courtier,1746423,29-09-20242019
POL054734,2024-04-16,2024-12-27,2025-06-30,ODI-9849,valide,SUNU,bureau direct,403452,29-09-20242019
POL740997,2021-10-17,2025-02-06,2025-08-19,A18 1QI,suspendu,SUNU,banque assurance,4878813,29-09-20242019
POL582844,2023-12-06,2024-05-04,2025-04-30,VOY-7887,expiré,LEADWAY,bureau direct,779660,29-09-20242019
POL282552,2023-06-22,2025-09-20,2025-09-23,KOP 977,valide,SUNU,courtier,1452925,29-09-20242019
POL866407,2024-06-24,2025-09-22,2025-09-25,13-32230,annulé,LEADWAY,banque assurance,3866047,29-09-20242019
POL600731,2024-08-02,2025-01-26,2025-06-07,NMM 456,expiré,LEADWAY,banque assurance,3979114,29-09-20242019
POL517302,2023-03-04,2025-06-13,2025-08-19,8501,expiré,LEADWAY,courtier,3595054,29-09-20242019
POL524835,2024-04-10,2024-06-04,2024-12-23,00SS8,expiré,LEADWAY,bureau direct,2951000,29-09-20242019
